ingredient_extracted,ingredient_standardized,frecuencia
bananos maduros grandes pelados y,banano maduro,2
bananos firmes y pelados,banano firm,2
azuucar morena o panela,azuucar morena o panela,2
azucar y mas,azucar y mas,2
cabezas de lechuga romana,cabeza de lechuga romana,2
cabeza de lechuga romana,cabeza de lechuga romana,2
brevas o higos frescos y firmes,breva o higo y firm,2
brevas caladas,breva calada,2
blanco o queso mozarella rebanadas,queso mozarella rebanada,2
rebanadas de banano,rebanada de banano,2
papas fritas para servir,papa,2
papas cocinadas y,papa,2
papas blancas medianas peladas y por la,papa,2
papas amarillas medianas peladas y,papa,2
costillas de cerdo pequenos,costilla de cerdo,2
costillas de cerdo,costilla de cerdo,2
cola de res,cola de res,2
pan con mantequilla para servir,pan con mantequilla para servir,2
azucar 1 poco mas para adornar,azucar 1 poco mas para adornar,2
ron oscuro,ron oscuro,2
repollo,repollo,2
remolachas,remolacha,2
receta de carne o ropa vieja ver la receta aqui,receta de carne o ropa vieja ver la receta aqui,2
berenjena peladas y,berenjena,2
barras de mantequilla sin sal,barra de mantequilla sin sal,2
ojuelas de avena,ojuela de avena,2
o rebanadas de pasta de guayaba o bocadillo,rebanada de pasta de guayaba o bocadillo,2
naranjas peladas,naranja,2
cuarto de cucharadita de achiote,achiote,2
crema de coco,crema de coco,2
migas de pan,miga de pan,2
mermelada de bayas o tu sabor favorito,mermelada de baya o tu sabor favorito,2
salsa de alinos ver la receta,salsa de alino ver la receta,2
salsa de alinos receta aqui,salsa de alino receta aqui,2
azucar o a su gusto,azucar o a su gusto,2
azucar morena,azucar,2
azucar granulada,azucar granulada,2
azucar 2 cucharadas,azucar 2 cucharada,2
mazorcas de maiz en 3 piezas,mazorca de maiz en 3 pieza,2
mazorcas de maiz,mazorca de maiz,2
cucharaditas de extracto,cucharadita de extracto,2
cucahradita de extracto de vainilla,cucahradita de extracto de vainilla,2
cubierta,cubierta,2
cuarto de taza de queso mozzarella o queso blanco,queso mozzarella,2
masarepa o harina de maiz para arepas,harina de arepa,2
masa de hojaldre descongelada,masa de hojaldre descongelada,2
mas 4 cucharadas de agua,mas 4 cucharada de agua,2
mantequilla suave 1 poco mas para cocinar,mantequilla suave 1 poco mas para cocinar,2
sandia y,sandia,2
saly pimienta recien,saly pimienta recien,2
salsa negra,salsa negra,2
atun de buena calidad,atun de buena calidad,2
atun,atun,2
arvejas frescas o congeladas,arveja o congelada,2
arvejas cocinadas,arveja cocinada,2
arvejas cocidas,arveja,2
salsa de aliunos ver receta aqui,salsa de aliuno ver receta aqui,2
mantequilla para cocinar las arepas,mantequilla para cocinar las arepa,2
